Level,NACE,Description,CPRS Main,CPRS2,CPRS Granular,Note on CPRS,IAM,NGFS3,NOTESOnMapping
4,G.45.20,Maintenance and repair of motor vehicles,5-transportation,5-transportation|roads,transportation|vehicles,,Final Energy|Transportation|Liquids,Energy Service|Transportation|Road,
3,G.45.3,Sale of motor vehicle parts and accessories,5-transportation,5-transportation|roads,transportation|vehicles,,Final Energy|Transportation|Liquids,Energy Service|Transportation|Road,
4,G.45.31,Wholesale trade of motor vehicle parts and accessories,5-transportation,5-transportation|roads,transportation|vehicles,,Final Energy|Transportation|Liquids,Energy Service|Transportation|Road,
4,G.45.32,Retail trade of motor vehicle parts and accessories,5-transportation,5-transportation|roads,transportation|vehicles,,Final Energy|Transportation|Liquids,Energy Service|Transportation|Road,
3,G.45.4,"Sale, maintenance and repair of motorcycles and related parts and accessories",5-transportation,5-transportation|roads,transportation|vehicles,,Final Energy|Transportation|Liquids,Energy Service|Transportation|Road,
4,G.45.40,"Sale, maintenance and repair of motorcycles and related parts and accessories",5-transportation,5-transportation|roads,transportation|vehicles,,Final Energy|Transportation|Liquids,Energy Service|Transportation|Road,
2,G.46,"Wholesale trade, except of motor vehicles and motorcycles",9-other,9-other,other,,,,
3,G.46.1,Wholesale on a fee or contract basis,9-other,9-other,other,,,,
4,G.46.11,"Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods",9-other,9-other,other,,,,
4,G.46.12,"Agents involved in the sale of fuels, ores, metals and industrial chemicals",9-other,9-other,other,,,,
4,G.46.13,Agents involved in the sale of timber and building materials,9-other,9-other,other,,,,
4,G.46.14,"Agents involved in the sale of machinery, industrial equipment, ships and aircraft",9-other,9-other,other,,,,
4,G.46.15,"Agents involved in the sale of furniture, household goods, hardware and ironmongery",9-other,9-other,other,,,,
4,G.46.16,"Agents involved in the sale of textiles, clothing, fur, footwear and leather goods",9-other,9-other,other,,,,
4,G.46.17,"Agents involved in the sale of food, beverages and tobacco",9-other,9-other,other,,,,
4,G.46.18,Agents specialised in the sale of other particular products,9-other,9-other,other,,,,
4,G.46.19,Agents involved in the sale of a variety of goods,9-other,9-other,other,,,,
3,G.46.2,Wholesale of agricultural raw materials and live animals,9-other,9-other,other,,,,
4,G.46.21,"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds",9-other,9-other,other,,,,
4,G.46.22,Wholesale of flowers and plants,9-other,9-other,other,,,,
4,G.46.23,Wholesale of live animals,9-other,9-other,other,,,,
4,G.46.24,"Wholesale of hides, skins and leather",9-other,9-other,other,,,,
3,G.46.3,"Wholesale of food, beverages and tobacco",9-other,9-other,other,,,,
4,G.46.31,Wholesale of fruit and vegetables,9-other,9-other,other,,,,
4,G.46.32,Wholesale of meat and meat products,9-other,9-other,other,,,,
4,G.46.33,"Wholesale of dairy products, eggs and edible oils and fats",9-other,9-other,other,,,,
4,G.46.34,Wholesale of beverages,9-other,9-other,other,,,,
4,G.46.35,Wholesale of tobacco products,9-other,9-other,other,,,,
4,G.46.36,Wholesale of sugar and chocolate and sugar confectionery,9-other,9-other,other,,,,
4,G.46.37,"Wholesale of coffee, tea, cocoa and spices",9-other,9-other,other,,,,
4,G.46.38,"Wholesale of other food, including fish, crustaceans and molluscs",9-other,9-other,other,,,,
4,G.46.39,"Non-specialised wholesale of food, beverages and tobacco",9-other,9-other,other,,,,
3,G.46.4,Wholesale of household goods,9-other,9-other,other,,,,
4,G.46.41,Wholesale of textiles,9-other,9-other,other,,,,
4,G.46.42,Wholesale of clothing and footwear,9-other,9-other,other,,,,
4,G.46.43,Wholesale of electrical household appliances,9-other,9-other,other,,,,
4,G.46.44,Wholesale of china and glassware and cleaning materials,9-other,9-other,other,,,,
4,G.46.45,Wholesale of perfume and cosmetics,9-other,9-other,other,,,,
4,G.46.46,Wholesale of pharmaceutical goods,9-other,9-other,other,,,,
4,G.46.47,"Wholesale of furniture, carpets and lighting equipment",9-other,9-other,other,,,,
4,G.46.48,Wholesale of watches and jewellery,9-other,9-other,other,,,,
4,G.46.49,Wholesale of other household goods,9-other,9-other,other,,,,
3,G.46.5,Wholesale of information and communication equipment,9-other,9-other,other,,,,
4,G.46.51,"Wholesale of computers, computer peripheral equipment and software",9-other,9-other,other,,,,
4,G.46.52,Wholesale of electronic and telecommunications equipment and parts,9-other,9-other,other,,,,
3,G.46.6,"Wholesale of other machinery, equipment and supplies",9-other,9-other,other,,,,
4,G.46.61,"Wholesale of agricultural machinery, equipment and supplies",9-other,9-other,other,,,,
4,G.46.62,Wholesale of machine tools,9-other,9-other,other,,,,
4,G.46.63,"Wholesale of mining, construction and civil engineering machinery",9-other,9-other,other,,,,
4,G.46.64,Wholesale of machinery for the textile industry and of sewing and knitting machines,9-other,9-other,other,,,,
4,G.46.65,Wholesale of office furniture,9-other,9-other,other,,,,
4,G.46.66,Wholesale of other office machinery and equipment,9-other,9-other,other,,,,
4,G.46.69,Wholesale of other machinery and equipment,9-other,9-other,other,,,,
3,G.46.7,Other specialised wholesale,9-other,9-other,other,,,,
4,G.46.71,"Wholesale of solid, liquid and gaseous fuels and related products",1-fossil-fuel,1-fossil,fuel|fossil|sale,,Primary Energy|Fossil,Primary Energy|Fossil,
4,G.46.72,Wholesale of metals and metal ores,9-other,9-other,other,,,,
4,G.46.73,"Wholesale of wood, construction materials and sanitary equipment",9-other,9-other,other,,,,
4,G.46.74,"Wholesale of hardware, plumbing and heating equipment and supplies",9-other,9-other,other,,,,
4,G.46.75,Wholesale of chemical products,9-other,9-other,other,,,,
4,G.46.76,Wholesale of other intermediate products,9-other,9-other,other,,,,
4,G.46.77,Wholesale of waste and scrap,9-other,9-other,other,,,,
3,G.46.9,Non-specialised wholesale trade,9-other,9-other,other,,,,
4,G.46.90,Non-specialised wholesale trade,9-other,9-other,other,,,,
2,G.47,"Retail trade, except of motor vehicles and motorcycles",9-other,9-other,other,,,,
3,G.47.1,Retail sale in non-specialised stores,9-other,9-other,other,,,,
4,G.47.11,"Retail sale in non-specialised stores with food, beverages or tobacco predominating",9-other,9-other,other,,,,
4,G.47.19,Other retail sale in non-specialised stores,9-other,9-other,other,,,,
3,G.47.2,"Retail sale of food, beverages and tobacco in specialised stores",9-other,9-other,other,,,,
4,G.47.21,Retail sale of fruit and vegetables in specialised stores,9-other,9-other,other,,,,
4,G.47.22,Retail sale of meat and meat products in specialised stores,9-other,9-other,other,,,,
4,G.47.23,"Retail sale of fish, crustaceans and molluscs in specialised stores",9-other,9-other,other,,,,
4,G.47.24,"Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores",9-other,9-other,other,,,,
4,G.47.25,Retail sale of beverages in specialised stores,9-other,9-other,other,,,,
4,G.47.26,Retail sale of tobacco products in specialised stores,9-other,9-other,other,,,,
4,G.47.29,Other retail sale of food in specialised stores,9-other,9-other,other,,,,
3,G.47.3,Retail sale of automotive fuel in specialised stores,1-fossil-fuel,1-fossil,fuel|fossil|oil,,Final Energy|Transportation|Liquids,Final Energy|Transportation|Liquids,
4,G.47.30,Retail sale of automotive fuel in specialised stores,1-fossil-fuel,1-fossil,fuel|fossil|oil|sale,,Final Energy|Transportation|Liquids,Final Energy|Transportation|Liquids,
3,G.47.4,Retail sale of information and communication equipment in specialised stores,9-other,9-other,other,,,,
4,G.47.41,"Retail sale of computers, peripheral units and software in specialised stores",9-other,9-other,other,,,,
4,G.47.42,Retail sale of telecommunications equipment in specialised stores,9-other,9-other,other,,,,
4,G.47.43,Retail sale of audio and video equipment in specialised stores,9-other,9-other,other,,,,
